Win,location,WinOverall,LossOverall,WinOverall_opponent,LossOverall_opponent,Date,Season,Team,Opponent,gameNum,opponentGameNum,conference,conference_opponent,interconference,GameType
1,H,9.0,4.0,10.0,2.0,2017-12-30,2018,Marquette,Georgetown,11.0,13.0,Big East,Big East,False,RegularSeason
0,A,7.0,5.0,8.0,1.0,2017-12-20,2018,NorthTexas,Georgetown,9.0,10.0,C-USA,Big East,True,RegularSeason
1,H,15.0,8.0,13.0,9.0,2018-02-06,2018,Providence,Georgetown,22.0,23.0,Big East,Big East,False,PostSeasonConferenceTournament
1,H,14.0,3.0,12.0,4.0,2018-01-13,2018,SetonHall,Georgetown,14.0,17.0,Big East,Big East,False,RegularSeason
0,A,17.0,7.0,13.0,10.0,2018-02-10,2018,SetonHall,Georgetown,21.0,24.0,Big East,Big East,False,PostSeasonConferenceTournament
1,A,8.0,1.0,8.0,0.0,2017-12-16,2018,Syracuse,Georgetown,10.0,9.0,ACC,Big East,True,RegularSeason
1,A,16.0,1.0,12.0,5.0,2018-01-17,2018,Villanova,Georgetown,14.0,18.0,Big East,Big East,False,RegularSeason
1,H,20.0,3.0,13.0,8.0,2018-02-03,2018,Xavier,Georgetown,20.0,22.0,Big East,Big East,False,PostSeasonConferenceTournament
1,A,0.0,13.0,4.0,9.0,2018-01-01,2018,AlabamaAM,GramblingState,13.0,13.0,SWAC,SWAC,False,RegularSeason
1,A,0.0,13.0,4.0,10.0,2018-01-03,2018,AlabamaState,GramblingState,8.0,14.0,SWAC,SWAC,False,RegularSeason
0,H,4.0,12.0,4.0,12.0,2018-01-08,2018,AlcornState,GramblingState,11.0,16.0,SWAC,SWAC,False,RegularSeason
0,A,7.0,16.0,11.0,12.0,2018-02-05,2018,AlcornState,GramblingState,16.0,23.0,SWAC,SWAC,False,RegularSeason
